time,detector,speed,veh_count
2021-05-11 07:00:00,Chestnut_USD2-2-EB,19.47826086956522,46.0
2021-05-11 07:15:00,Chestnut_USD2-2-EB,18.38235294117647,68.0
2021-05-11 07:30:00,Chestnut_USD2-2-EB,16.973333333333333,75.0
2021-05-11 07:45:00,Chestnut_USD2-2-EB,16.686746987951807,83.0
2021-05-11 08:00:00,Chestnut_USD2-2-EB,18.463414634146343,82.0
2021-05-11 08:15:00,Chestnut_USD2-2-EB,16.2625,80.0
2021-05-11 08:30:00,Chestnut_USD2-2-EB,19.133333333333333,60.0
2021-05-11 08:45:00,Chestnut_USD2-2-EB,16.671232876712327,73.0
2021-05-11 09:00:00,Chestnut_USD2-2-EB,16.181818181818183,55.0
2021-05-11 09:15:00,Chestnut_USD2-2-EB,18.10810810810811,37.0
2021-05-11 09:30:00,Chestnut_USD2-2-EB,14.92,50.0
2021-05-11 09:45:00,Chestnut_USD2-2-EB,17.916666666666668,36.0
2021-05-11 10:00:00,Chestnut_USD2-2-EB,20.78125,32.0
2021-05-11 10:15:00,Chestnut_USD2-2-EB,19.314285714285713,35.0
2021-05-11 10:30:00,Chestnut_USD2-2-EB,20.26829268292683,41.0
2021-05-11 10:45:00,Chestnut_USD2-2-EB,19.170212765957448,47.0
2021-05-11 11:00:00,Chestnut_USD2-2-EB,18.59259259259259,27.0
2021-05-11 11:15:00,Chestnut_USD2-2-EB,16.34090909090909,44.0
2021-05-11 11:30:00,Chestnut_USD2-2-EB,17.73913043478261,46.0
2021-05-11 11:45:00,Chestnut_USD2-2-EB,15.9375,48.0
2021-05-11 12:00:00,Chestnut_USD2-2-EB,18.387755102040817,49.0
2021-05-11 12:15:00,Chestnut_USD2-2-EB,16.4375,48.0
2021-05-11 12:30:00,Chestnut_USD2-2-EB,15.131578947368421,38.0
2021-05-11 12:45:00,Chestnut_USD2-2-EB,19.12727272727273,55.0
2021-05-11 13:00:00,Chestnut_USD2-2-EB,15.789473684210526,38.0
2021-05-11 13:15:00,Chestnut_USD2-2-EB,14.090909090909092,33.0
2021-05-11 13:30:00,Chestnut_USD2-2-EB,17.093023255813954,43.0
2021-05-11 13:45:00,Chestnut_USD2-2-EB,16.02777777777778,36.0
2021-05-11 14:00:00,Chestnut_USD2-2-EB,17.11764705882353,34.0
2021-05-11 14:15:00,Chestnut_USD2-2-EB,15.675,40.0
2021-05-11 14:30:00,Chestnut_USD2-2-EB,16.073170731707318,41.0
2021-05-11 14:45:00,Chestnut_USD2-2-EB,16.075,40.0
2021-05-11 15:00:00,Chestnut_USD2-2-EB,14.4,45.0
2021-05-11 15:15:00,Chestnut_USD2-2-EB,16.15909090909091,44.0
2021-05-11 15:30:00,Chestnut_USD2-2-EB,16.78048780487805,41.0
2021-05-11 15:45:00,Chestnut_USD2-2-EB,17.288888888888888,45.0
2021-05-11 16:00:00,Chestnut_USD2-2-EB,17.771428571428572,35.0
2021-05-11 16:15:00,Chestnut_USD2-2-EB,17.05263157894737,38.0
2021-05-11 16:30:00,Chestnut_USD2-2-EB,21.153846153846153,39.0
2021-05-11 16:45:00,Chestnut_USD2-2-EB,17.511111111111113,45.0
2021-05-11 17:00:00,Chestnut_USD2-2-EB,16.23076923076923,52.0
2021-05-11 17:15:00,Chestnut_USD2-2-EB,13.311111111111112,45.0
2021-05-11 17:30:00,Chestnut_USD2-2-EB,15.880952380952381,42.0
2021-05-11 17:45:00,Chestnut_USD2-2-EB,16.28,50.0
2021-05-11 18:00:00,Chestnut_USD2-2-EB,17.0,36.0
2021-05-11 18:15:00,Chestnut_USD2-2-EB,17.693877551020407,49.0
2021-05-11 18:30:00,Chestnut_USD2-2-EB,18.9375,32.0
2021-05-11 18:45:00,Chestnut_USD2-2-EB,20.967741935483872,31.0
2021-05-11 19:00:00,Chestnut_USD2-2-EB,21.115384615384617,26.0
2021-05-11 19:15:00,Chestnut_USD2-2-EB,18.59090909090909,22.0
2021-05-11 19:30:00,Chestnut_USD2-2-EB,22.04,25.0
